,prediction
28982,0
75088,0
95952,1
99924,0
54425,0
95007,0
4221,1
104050,0
73976,0
75892,0
36815,0
47388,1
25902,1
29095,0
87868,1
9239,0
47129,1
2434,1
60013,0
32664,1
94842,1
66013,1
74342,1
92670,1
75416,0
11632,1
63906,1
29748,0
26387,1
41641,0
107005,1
69976,0
11096,1
30999,1
60025,0
102496,0
16127,0
56309,0
4576,0
55174,0
62503,1
59168,0
89909,0
104006,0
51219,0
73777,0
90913,0
20729,0
4407,1
61519,1
28360,0
54681,0
58534,0
6136,1
95801,1
21592,1
57165,0
37261,1
70763,0
20514,1
14260,0
87882,1
18180,1
10243,1
92794,1
86418,0
94533,1
988,1
90958,0
59704,1
79698,1
13574,0
44924,1
85925,0
3635,0
48525,0
52017,1
41724,1
16647,1
71176,0
60867,1
54815,1
7885,0
85530,0
61833,1
34100,0
19085,0
97706,0
21431,0
887,1
101561,0
64485,0
30074,0
44722,0
63296,0
24395,1
101963,0
7350,0
13486,1
63105,0
78705,0
30461,0
62249,1
23082,1
89902,0
3922,1
96802,0
8326,0
28019,0
5752,1
95567,0
57449,1
105086,1
75060,1
28191,0
65420,1
2198,1
38219,1
63262,0
47702,0
28626,0
5594,1
75429,1
54692,1
55943,0
37098,0
48584,1
33300,0
21714,1
14194,0
22289,0
90165,1
84013,1
30509,1
72941,0
48129,0
68108,1
28041,1
4087,1
57676,1
87424,1
70458,1
82707,0
79122,0
9319,0
72445,1
25320,0
21525,1
90685,1
58595,0
20585,1
1414,0
11634,0
66649,0
46196,1
85038,1
26869,0
57892,0
30056,0
36139,0
65719,0
101740,0
43379,0
52111,0
63282,1
55063,1
10613,0
7613,1
52731,0
5742,0
25952,0
70481,0
95018,0
106026,0
76131,1
30786,1
63742,0
59943,1
59443,0
54703,1
46602,0
96589,1
30813,1
64465,0
80343,0
68916,1
39765,1
55055,1
5562,0
8755,1
35609,1
100574,1
28843,1
27809,0
22253,0
68421,1
102891,1
98610,1
12298,0
101962,0
76050,1
73127,1
55373,0
51510,0
20330,0
28625,1
6956,1
67034,1
4662,0
11783,0
41796,0
104941,1
94643,1
47379,0
100450,0
9900,1
25891,1
56372,0
96477,0
70295,0
25657,1
36763,1
6581,0
21219,1
52764,0
6564,0
89381,0
26117,1
59608,1
2142,1
40498,1
65563,0
4927,1
94573,0
46555,1
28444,1
65310,1
93443,1
15324,1
36958,0
21580,1
70693,0
60313,0
40726,1
89408,1
31743,1
71921,1
97696,0
11290,0
412,1
45772,0
22510,1
19163,1
17778,1
87806,0
34012,0
23080,0
73894,0
32413,0
33294,0
76749,1
12789,1
30233,1
93952,0
83186,0
17353,0
98155,1
29706,1
59566,1
13085,1
83547,0
85832,0
25702,0
13970,1
92609,0
107093,1
7530,1
18747,1
80539,0
47045,0
89234,0
1315,1
106966,1
98700,1
86840,1
35338,0
17060,0
11356,0
77012,0
43549,1
93786,0
2861,1
37536,0
24777,1
62963,1
88066,1
27461,1
14908,0
61070,0
24326,0
54265,1
102668,0
560,1
42466,0
13234,0
103862,0
68422,0
12453,0
85796,1
57704,0
103287,0
73140,0
106305,0
24995,0
59875,0
82230,0
78295,0
62971,1
102358,1
95476,0
51521,1
21600,1
71603,0
26548,1
38648,0
76395,0
68102,1
103154,1
91052,0
26208,1
83028,0
31461,1
86263,0
13657,0
90233,1
56149,1
5312,1
38052,1
27462,0
51485,0
16601,0
52937,1
88137,0
30764,0
44183,1
54073,1
56413,0
51090,1
59200,0
55497,0
64666,0
33546,1
51026,0
73398,0
2269,1
42234,0
88307,1
67467,1
98679,0
23754,1
53677,1
69284,0
91290,0
56310,0
38197,0
38739,1
1214,0
57625,1
5321,0
40933,0
100218,1
31918,0
78052,0
66085,1
25329,0
3591,0
83552,0
5013,1
23953,0
64093,0
56161,1
97879,0
80432,1
34101,0
73210,0
95937,0
4101,1
1703,1
46117,0
25527,0
48274,1
26456,1
41351,0
78743,0
99312,1
24770,0
32671,1
55648,0
33229,0
